defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
Houston,22.8,132.1,108.5,2016,0,28.9
Idaho,34,99.6,90,2016,0,27.2
Indiana,23.9,115.8,101.8,2016,0,29.2
Iowa,19.8,101.4,117.3,2016,0,27.6
Kansas,31.5,90.2,108.4,2016,0,23
Kansas State,26.4,112.8,99.7,2016,0,33.1
Kent State,29.1,94.4,108.2,2016,0,18.1
Kentucky,31.6,93,99.3,2016,0,31.7
Louisiana Tech,36.6,98.9,92.3,2016,0,39.2
Louisville,20.9,119.8,99.2,2016,0,39.3
LSU,12.6,134.6,151.3,2016,0,37.3
Marshall,33.9,98.1,92.6,2016,0,21.5
Massachusetts,35.2,92.5,86.7,2016,0,23.3
Miami-OH,30.1,98.8,103.5,2016,0,23.8
Michigan,7.7,133.3,165.9,2016,0,33.8
Michigan State,26.3,103.8,84.4,2016,0,29.3
Middle Tennessee,38.6,89.7,94.6,2016,0,32.5
Mississippi State,30,102.2,90.3,2016,0,34.7
Navy,34.4,102.1,83.1,2016,0,37.9
NC State,19.4,123,118.2,2016,0,31.5
Nebraska,24.1,102.9,103.4,2016,0,28.9
Nevada,39.7,84.8,79.9,2016,0,23.6
New Mexico,39,97.8,86.6,2016,0,33.8
New Mexico State,38.9,95.1,79.3,2016,0,25.7
North Carolina,26.6,98.5,98.7,2016,0,36.3
Northern Illinois,33.1,100.7,96.8,2016,0,32.1
Northwestern,24,107.7,103.6,2016,0,29.8
Notre Dame,23.4,114.5,94.1,2016,0,34.4
Ohio,28.8,113.6,98.7,2016,0,21.5
Ohio State,13.6,120.4,125.4,2016,0,36.9
Oklahoma,27.9,103.7,107.6,2016,0,46.8
Oklahoma State,29.4,97.8,99,2016,0,39.5
Old Dominion,31.3,98.9,106.8,2016,0,29.8
Ole Miss,30,99.6,98.4,2016,0,38.8
Oregon,38.7,79.4,88.4,2016,0,37.8
Oregon State,27.3,86.5,110.1,2016,0,28.3
Penn State,19.8,113.6,103.8,2016,0,37.9
Pittsburgh,28.8,105,103.5,2016,0,40.5
Purdue,34,83,88.8,2016,0,25.1
Rice,39.1,91.7,79.6,2016,0,24.7
San Diego State,22.8,131.2,105.1,2016,0,28.8
San Jose State,36.5,91.6,94.6,2016,0,24.2
SMU,32.7,100.6,103.2,2016,0,28.5
South Alabama,30,84.8,90.5,2016,0,25
South Florida,36.4,90,92.6,2016,0,39.7
Stanford,20.8,116.6,113,2016,0,30.3
TCU,27.5,100,115.1,2016,0,32.8
Temple,20.2,109.8,117.1,2016,0,27.4
Tennessee,27.8,95.4,106.1,2016,0,36.3
Texas,28.4,105.7,107.8,2016,0,35.7
Texas A&M,25.6,104.3,100.2,2016,0,35.7
Texas Tech,40,84.6,86.6,2016,0,40.3
Troy,26.9,107.8,113.9,2016,0,27.4
Tulsa,30.5,99.1,109,2016,0,34.4
UCLA,23.2,116.2,114.4,2016,0,27
UL-Lafayette,29.7,108.6,90.1,2016,0,20.4
UNLV,37.2,84.5,89.7,2016,0,26.2
Utah,25.9,104.9,111.9,2016,0,30.5
Utah State,27,103.6,115.7,2016,0,27.8
UTEP,39.6,87.1,82,2016,0,23.3
Vanderbilt,26.2,102.4,107.3,2016,0,25.8
Wake Forest,22,100.2,107.3,2016,0,23
Washington,17.9,124.2,131.5,2016,0,38.2
Washington State,29.1,105.4,90.2,2016,0,36.8
West Virginia,25.9,112,108.4,2016,0,36.3
Western Kentucky,26.4,138.9,95.3,2016,0,38.8
Western Michigan,29.7,93.4,97.6,2016,0,36.6
Wisconsin,14.6,119.1,120.1,2016,0,32.4
Wyoming,33.4,96.6,97.6,2016,0,34.6
Air Force,35.2,99.8,89.4,2017,0,29.5
Akron,29.2,85.7,96.5,2017,0,21.8
Alabama,14.8,146.1,127,2017,0,33.6
Appalachian State,24.1,94.7,99.4,2017,0,31.7
Arizona,33.6,90.8,93.9,2017,0,38.1
Arizona State,32.3,100.3,112.1,2017,0,31.5
Arkansas,33.4,96.1,95.6,2017,0,30.4
Arkansas State,26.5,103.9,99.5,2017,0,34.5
Army,29.7,85.9,81.9,2017,0,32.4
Auburn,16.8,139.2,151.6,2017,0,31.6
Ball State,34,79.1,87,2017,0,21.5
Boise State,23.8,118.5,97.2,2017,0,30.9
Boston College,24,99.3,124.7,2017,0,24.9
Bowling Green,36.1,72.6,86,2017,0,28.4
Buffalo,28.7,97.1,84.8,2017,0,29.6
BYU,24.8,110.1,90.8,2017,0,19.6
Central Florida,29.5,100.9,111.2,2017,0,44.1
Central Michigan,25.8,86.1,105.8,2017,0,25.8
Charlotte,33.1,82.2,80.6,2017,0,19.2
Clemson,14.2,131.4,148.2,2017,0,30
Coastal Carolina,32.9,85.9,84.6,2017,0,25.3
Colorado,31.8,89.7,106.6,2017,0,28
Colorado State,31.8,92.5,87.2,2017,0,36.4
Duke,24.6,107.8,114.3,2017,0,25.8
East Carolina,43.3,80.5,75.4,2017,0,29.3
Eastern Michigan,24.7,106.6,93.6,2017,0,26
